text,intent,tema,lokasi,budget_min,budget_max,jumlah_tamu,tipe_acara,venue,waktu
paket minimalis jakarta timur 450 80jt-100jt akad+resepsi hotel,cari_rekomendasi_paket,minimalis,jakarta timur,80000000,100000000,450,akad+resepsi,hotel,
venue minang tasikmalaya 180 <= 10jt resepsi malam,cari_venue,minang,tasikmalaya,0,10000000,180,resepsi,gedung,malam
paket sunda jakarta timur 100 50jt-70jt resepsi kebun,cari_rekomendasi_paket,sunda,jakarta timur,50000000,70000000,100,resepsi,kebun,
catering minimalis tasikmalaya 600 150jt-200jt rumah,cari_catering,minimalis,tasikmalaya,150000000,200000000,600,lamaran,rumah,minggu
cek batak padang 550 70jt-90jt lamaran+akad cafe,tanya_kemungkinan,batak,padang,70000000,90000000,550,lamaran+akad,cafe,malam
cek batak cirebon 120 80jt-100jt akad+resepsi resort,tanya_kemungkinan,batak,cirebon,80000000,100000000,120,akad+resepsi,resort,minggu
dekor jawa surakarta 350 80jt-100jt akad resort pagi,cari_dekor,jawa,surakarta,80000000,100000000,350,akad,resort,pagi
catering batak bekasi 550 100jt-150jt outdoor,cari_catering,batak,bekasi,100000000,150000000,550,resepsi,outdoor,minggu
catering internasional sentul 200 <= 5jt cafe,cari_catering,internasional,sentul,0,5000000,200,lamaran,cafe,malam
cek sunda padang 400 80jt-90jt akad,tanya_kemungkinan,sunda,padang,80000000,90000000,400,akad,pantai,weekday
cek internasional bandung 120 <= 20jt lamaran weekday,tanya_kemungkinan,internasional,bandung,0,20000000,120,lamaran,hotel,weekday
paket minang surabaya 250 80jt-100jt resepsi,cari_rekomendasi_paket,minang,surabaya,80000000,100000000,250,resepsi,cafe,siang
dekor mix_sunda_jawa malang 30 <= 5jt resepsi villa weekday,cari_dekor,mix_sunda_jawa,malang,0,5000000,30,resepsi,villa,weekday
vendor bugis garut 450 60jt-80jt akad outdoor,cari_vendor,bugis,garut,60000000,80000000,450,akad,outdoor,minggu
venue modern pekanbaru 300 30jt-40jt akad restoran,cari_venue,modern,pekanbaru,30000000,40000000,300,akad,restoran,minggu
estimasi minang depok 20 estimasi resepsi,estimasi_budget,minang,depok,0,0,20,resepsi,restoran,minggu
estimasi minang jakarta pusat 550 estimasi lamaran ballroom,estimasi_budget,minang,jakarta pusat,0,0,550,lamaran,ballroom,malam
cek internasional surabaya 180 <= 5jt lamaran+akad outdoor,tanya_kemungkinan,internasional,surabaya,0,5000000,180,lamaran+akad,outdoor,minggu
vendor melayu jakarta selatan 30 70jt-90jt akad+resepsi taman,cari_vendor,melayu,jakarta selatan,70000000,90000000,30,akad+resepsi,taman,malam
catering modern bogor 400 80jt-100jt akad taman,cari_catering,modern,bogor,80000000,100000000,400,akad,taman,malam
venue jawa cirebon 600 80jt-90jt lamaran+akad resort,cari_venue,jawa,cirebon,80000000,90000000,600,lamaran+akad,resort,
vendor internasional bekasi 500 200jt-300jt akad+resepsi taman malam,cari_vendor,internasional,bekasi,200000000,300000000,500,akad+resepsi,taman,malam
venue internasional jakarta barat 120 120jt-180jt gedung,cari_venue,internasional,jakarta barat,120000000,180000000,120,akad,gedung,malam
catering internasional bekasi 30 50jt-70jt pantai,cari_catering,internasional,bekasi,50000000,70000000,30,lamaran,pantai,minggu
paket minimalis garut 120 <= 8jt lamaran resort,cari_rekomendasi_paket,minimalis,garut,0,8000000,120,lamaran,resort,malam
dekor rustic makassar 150 30jt-40jt akad+resepsi villa,cari_dekor,rustic,makassar,30000000,40000000,150,akad+resepsi,villa,malam
estimasi minang jakarta timur 400 estimasi lamaran kebun,estimasi_budget,minang,jakarta timur,0,0,400,lamaran,kebun,malam
venue rustic yogyakarta 100 <= 8jt resepsi rumah,cari_venue,rustic,yogyakarta,0,8000000,100,resepsi,rumah,pagi
cek batak tasikmalaya 20 90jt-120jt akad rumah,tanya_kemungkinan,batak,tasikmalaya,90000000,120000000,20,akad,rumah,weekday
venue modern makassar 20 100jt-125jt akad+resepsi kebun,cari_venue,modern,makassar,100000000,125000000,20,akad+resepsi,kebun,pagi
cek jawa yogyakarta 30 5jt-10jt akad+resepsi outdoor,tanya_kemungkinan,jawa,yogyakarta,5000000,10000000,30,akad+resepsi,outdoor,malam
dekor internasional garut 350 5jt-15jt resepsi masjid,cari_dekor,internasional,garut,5000000,15000000,350,resepsi,masjid,
vendor jawa sentul 150 <= 20jt lamaran outdoor,cari_vendor,jawa,sentul,0,20000000,150,lamaran,outdoor,malam
catering jawa tasikmalaya 30 100jt-150jt akad,cari_catering,jawa,tasikmalaya,100000000,150000000,30,akad,outdoor,pagi
vendor jawa jakarta pusat 30 30jt-40jt akad+resepsi,cari_vendor,jawa,jakarta pusat,30000000,40000000,30,akad+resepsi,villa,pagi
venue batak surabaya 350 <= 8jt resepsi taman,cari_venue,batak,surabaya,0,8000000,350,resepsi,taman,
estimasi rustic padang 20 estimasi lamaran+akad kebun,estimasi_budget,rustic,padang,0,0,20,lamaran+akad,kebun,weekday
dekor internasional bali 100 50jt-70jt gedung minggu,cari_dekor,internasional,bali,50000000,70000000,100,lamaran,gedung,minggu
vendor minimalis jakarta timur 400 100jt-150jt resepsi rooftop,cari_vendor,minimalis,jakarta timur,100000000,150000000,400,resepsi,rooftop,siang
vendor jawa depok 150 50jt-70jt akad+resepsi masjid,cari_vendor,jawa,depok,50000000,70000000,150,akad+resepsi,masjid,malam
paket batak sentul 120 5jt-10jt resepsi pagi,cari_rekomendasi_paket,batak,sentul,5000000,10000000,120,resepsi,resort,pagi
venue sunda cirebon 350 <= 10jt resepsi restoran,cari_venue,sunda,cirebon,0,10000000,350,resepsi,restoran,malam
dekor jawa tasikmalaya 250 <= 5jt akad+resepsi pagi,cari_dekor,jawa,tasikmalaya,0,5000000,250,akad+resepsi,villa,pagi
catering mix_sunda_jawa bali 120 90jt-105jt resepsi,cari_catering,mix_sunda_jawa,bali,90000000,105000000,120,resepsi,masjid,
catering jawa bogor 200 lamaran outdoor,cari_catering,jawa,bogor,50000000,60000000,200,lamaran,outdoor,malam
vendor batak padang 150 180jt-250jt,cari_vendor,batak,padang,180000000,250000000,150,akad+resepsi,restoran,minggu
estimasi mix_sunda_jawa depok 550 estimasi akad masjid,estimasi_budget,mix_sunda_jawa,depok,0,0,550,akad,masjid,
vendor sunda padang 180 20jt-40jt akad villa minggu,cari_vendor,sunda,padang,20000000,40000000,180,akad,villa,minggu
paket modern jakarta timur 500 <= 5jt pantai,cari_rekomendasi_paket,modern,jakarta timur,0,5000000,500,akad,pantai,siang
vendor sunda malang 550 10jt-30jt lamaran+akad masjid,cari_vendor,sunda,malang,10000000,30000000,550,lamaran+akad,masjid,siang
estimasi rustic sentul 100 estimasi lamaran+akad restoran siang,estimasi_budget,rustic,sentul,0,0,100,lamaran+akad,restoran,siang
dekor minang sentul 50 <= 20jt akad rooftop,cari_dekor,minang,sentul,0,20000000,50,akad,rooftop,minggu
vendor modern surakarta 550 100jt-150jt akad resort siang,cari_vendor,modern,surakarta,100000000,150000000,550,akad,resort,siang
vendor internasional depok 120 200jt-250jt akad resort,cari_vendor,internasional,depok,200000000,250000000,120,akad,resort,
paket batak medan 50 <= 20jt resepsi rooftop,cari_rekomendasi_paket,batak,medan,0,20000000,50,resepsi,rooftop,malam
dekor modern surakarta 600 90jt-120jt lamaran resort siang,cari_dekor,modern,surakarta,90000000,120000000,600,lamaran,resort,siang
estimasi modern jakarta selatan 30 estimasi,estimasi_budget,modern,jakarta selatan,0,0,30,lamaran+akad,ballroom,pagi
vendor batak surabaya 120 10jt-30jt lamaran+akad rumah,cari_vendor,batak,surabaya,10000000,30000000,120,lamaran+akad,rumah,minggu
vendor minang surakarta 500 resepsi hotel,cari_vendor,minang,surakarta,120000000,180000000,500,resepsi,hotel,malam
venue bugis semarang 20 70jt-90jt akad gedung weekday,cari_venue,bugis,semarang,70000000,90000000,20,akad,gedung,weekday
dekor bugis pekanbaru 300 <= 20jt resepsi gedung,cari_dekor,bugis,pekanbaru,0,20000000,300,resepsi,gedung,pagi
vendor sunda bali 100 50jt-70jt akad+resepsi,cari_vendor,sunda,bali,50000000,70000000,100,akad+resepsi,resort,minggu
dekor sunda medan 550 120jt-150jt lamaran+akad masjid,cari_dekor,sunda,medan,120000000,150000000,550,lamaran+akad,masjid,malam
cek jawa surabaya 50 5jt-10jt akad+resepsi pantai,tanya_kemungkinan,jawa,surabaya,5000000,10000000,50,akad+resepsi,pantai,malam
paket mix_sunda_jawa surakarta 500 <= 8jt lamaran villa,cari_rekomendasi_paket,mix_sunda_jawa,surakarta,0,8000000,500,lamaran,villa,weekday
cek internasional bali 350 10jt-20jt akad,tanya_kemungkinan,internasional,bali,10000000,20000000,350,akad,resort,minggu
venue internasional puncak 250 120jt-180jt resepsi resort minggu,cari_venue,internasional,puncak,120000000,180000000,250,resepsi,resort,minggu
estimasi internasional bekasi 550 estimasi lamaran+akad rumah siang,estimasi_budget,internasional,bekasi,0,0,550,lamaran+akad,rumah,siang
