text,intent,tema,lokasi,budget_min,budget_max,jumlah_tamu,tipe_acara,venue,waktu
rekomendasi pernikahan tema sunda di bandung budget 50 juta untuk 300 orang,cari_rekomendasi_paket,sunda,bandung,0,50000000,300,akad+resepsi,gedung,
saya mau paket pernikahan adat jawa di jogja maksimal 30 juta untuk 100 tamu,cari_rekomendasi_paket,jawa,yogyakarta,0,30000000,100,akad+resepsi,gedung,
butuh paket akad saja tema sunda di bandung untuk 50 orang budget 15 juta,cari_rekomendasi_paket,sunda,bandung,0,15000000,50,akad,rumah,
tolong carikan paket resepsi modern di jakarta barat untuk 200 tamu sekitar 80 sampai 100 juta,cari_rekomendasi_paket,modern,jakarta barat,80000000,100000000,200,resepsi,hotel,
ada rekomendasi venue outdoor di bogor tema rustic buat 150 tamu budget 60 jutaan,cari_venue,rustic,bogor,0,60000000,150,resepsi,outdoor,
paket lamaran sederhana di depok untuk 30 orang maksimal 10 juta,cari_rekomendasi_paket,minimalis,depok,0,10000000,30,lamaran,rumah,
minta rekomendasi paket pernikahan internasional di bali untuk 100 tamu budget 200 juta,cari_rekomendasi_paket,internasional,bali,0,200000000,100,akad+resepsi,resort,
pernikahan adat minang di padang untuk 500 orang kira kira berapa dan paket apa saja ada,estimasi_budget,minang,padang,0,0,500,akad+resepsi,gedung,
butuh paket pernikahan garden party di bandung tema rustic 100 orang dengan budget 70 juta,cari_rekomendasi_paket,rustic,bandung,0,70000000,100,resepsi,outdoor,
rekomendasi wedding sunda di cirebon dengan budget 40 juta untuk 200 undangan,cari_rekomendasi_paket,sunda,cirebon,0,40000000,200,akad+resepsi,gedung,
saya cari paket akad nikah saja di jakarta timur maksimal 20 juta untuk 50 orang,cari_rekomendasi_paket,modern,jakarta timur,0,20000000,50,akad,rumah,
ada paket pernikahan adat bugis di makassar untuk 300 tamu budget 100 jutaan,cari_rekomendasi_paket,bugis,makassar,0,100000000,300,akad+resepsi,gedung,
pengen resepsi adat sunda di hotel bandung untuk 250 undangan budget 120 juta,cari_rekomendasi_paket,sunda,bandung,0,120000000,250,resepsi,hotel,
rekomendasi paket nikah simple di bekasi 100 orang sekitar 25 juta aja,cari_rekomendasi_paket,minimalis,bekasi,0,25000000,100,akad+resepsi,rumah,
